dp,dpnom,dpmp,mpio,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018,n2019,n2020
19,Cauca,19513,Padilla,8912,9039,9168,9293,9406,9502,9587,9642,9659,9636,9575,9482,9365,9229,9083,8934,8784,8642,8516,8412,8336,8287,8240,8187,8142,8096,8059,8010,7966,7924,7882,7837,7794,7744,7686,7629
54,Norte de Santander,54518,Pamplona,41773,41686,41914,42393,43053,43829,45048,46245,47360,48338,49152,49573,49930,50269,50634,51056,51469,51871,52274,52698,53158,53604,54031,54453,54882,55300,55727,56153,56569,56983,57393,57803,58200,58592,58975,59334
54,Norte de Santander,54553,Puerto Santander,0,0,0,0,0,0,0,0,6895,7048,7209,7374,7540,7704,7864,8014,8155,8296,8437,8578,8720,8859,9006,9155,9311,9454,9616,9767,9933,10089,10249,10421,10590,10757,10926,11092
25,Cundinamarca,25797,Tena,6310,6261,6208,6155,6106,6066,6032,6018,6022,6051,6105,6190,6296,6418,6560,6716,6890,7065,7241,7409,7569,7719,7850,7989,8122,8249,8392,8533,8663,8804,8941,9083,9223,9359,9507,9638
91,Amazonas,91430,La Victoria (ANM),0,0,0,0,0,0,0,0,0,0,0,0,975,968,959,955,958,960,965,971,979,992,1004,1017,1029,1041,1054,1066,1078,1090,1102,1115,1127,1140,1153,1166
41,Huila,41872,Villavieja,7772,7716,7666,7631,7599,7578,7547,7527,7513,7489,7473,7462,7446,7428,7419,7412,7400,7393,7390,7380,7376,7370,7359,7350,7343,7338,7329,7329,7327,7316,7312,7315,7308,7307,7309,7308
91,Amazonas,91407,La Pedrera (ANM),1388,1440,1489,1543,1598,1657,1721,1786,1847,1953,2084,2239,2409,2588,2770,2949,3120,3284,3439,3582,3711,3828,3948,4069,4193,4319,4447,4578,4711,4846,4985,5125,5269,5417,5569,5726
85,Casanare,85263,Pore,6464,6585,6722,6867,7029,7193,7359,7523,7673,7807,7914,8001,8054,8085,8100,8086,8062,8030,8004,7978,7974,7964,7959,7946,7943,7939,7931,7933,7921,7920,7921,7915,7914,7909,7917,7913
81,Arauca,81220,Cravo Norte,3160,3269,3380,3491,3603,3707,3807,3896,3971,4027,4065,4115,4139,4135,4105,4051,3982,3901,3814,3731,3661,3624,3592,3562,3531,3493,3462,3428,3390,3361,3331,3293,3263,3226,3190,3150
76,Valle del Cauca,76895,Zarzal,34243,34078,34038,34083,34235,34471,34818,35221,35664,36116,36546,36928,37326,37737,38179,38658,39135,39626,40095,40542,40968,41370,41773,42187,42614,43041,43471,43908,44342,44787,45234,45683,46140,46599,47062,47534
17,Caldas,17541,Pensilvania,28469,28157,27844,27538,27245,26974,26767,26599,26480,26407,26329,26231,26153,26105,26093,26128,26196,26274,26346,26402,26426,26414,26418,26409,26401,26394,26384,26380,26370,26360,26361,26343,26347,26344,26342,26349
63,Quindio,63594,Quimbaya,30531,30312,30301,30452,30757,31172,31729,32300,32836,33252,33531,33648,33689,33687,33697,33725,33759,33816,33877,33966,34060,34163,34254,34351,34431,34519,34604,34687,34777,34862,34948,35036,35118,35195,35276,35352
44,La Guajira,44110,El Molino,0,0,0,0,0,5643,5685,5717,5743,5765,5792,5861,5944,6048,6177,6332,6537,6742,6943,7135,7315,7480,7641,7781,7938,8079,8222,8357,8487,8607,8728,8837,8940,9037,9121,9203
63,Quindio,63001,Armenia,209870,215593,221371,227045,232568,237881,242940,247700,252099,256136,259783,263045,265928,268449,270630,272529,274224,275873,277521,279194,280881,282518,284135,285733,287324,288905,290482,292045,293605,295143,296683,298199,299712,301224,302723,304216
54,Norte de Santander,54820,Toledo,17302,17296,17289,17283,17278,17273,17270,17267,17266,17266,17266,17267,17267,17268,17268,17269,17269,17270,17270,17271,17272,17273,17274,17275,17276,17277,17278,17279,17280,17281,17283,17284,17285,17287,17288,17290
