,Unnamed: 0,Municipio,casosm,casosh,año
0,0,AMAZONAS,19,17,2016
1,6,CASANARE,122,100,2016
2,18,CAUCA,73,52,2016
3,31,CESAR,50,49,2016
6,64,CHOCÓ,13,18,2016
7,68,CÓRDOBA,41,39,2016
8,80,CUNDINAMARCA,504,426,2016
9,181,GUAINÍA,5,1,2016
10,184,GUAVIARE,33,28,2016
12,191,HUILA,107,94,2016
13,222,GUAJIRA,46,44,2016
14,234,MAGDALENA,78,85,2016
15,254,META,255,225,2016
17,282,NARIÑO,63,43,2016
18,304,NORTE DE SANTANDER,116,104,2016
19,322,PUTUMAYO,39,26,2016
20,332,QUINDÍO,72,70,2016
22,353,RISARALDA,85,69,2016
23,364,SANTANDER,237,238,2016
24,467,TOLIMA,127,120,2016
25,503,VALLE,245,215,2016
26,534,VICHADA,3,4,2016
27,555,ARAUCA,67,59,2016
28,562,SAN ANDRÉS,5,8,2016
29,564,ATLÁNTICO,189,124,2016
30,577,SANTAFE DE BOGOTA D.C,1741,1732,2016
31,592,BOYACÁ,197,170,2016
32,635,CALDAS,56,52,2016
33,649,CAQUETÁ,28,16,2016
36,668,ANTIOQUIA,509,427,2016
37,669,BOLÍVAR,78,78,2016
38,670,SUCRE,73,73,2016
