,Municipio,casosm,casosh
0,AMAZONAS,17,17
1,ANTIOQUIA,630,512
2,CUNDINAMARCA,450,361
3,GUAINÍA,3,0
4,GUAVIARE,11,12
5,GUAJIRA,41,44
6,MAGDALENA,93,67
7,META,270,211
8,NARIÑO,64,64
9,NORTE DE SANTANDER,125,111
10,PUTUMAYO,42,21
11,QUINDÍO,66,58
12,RISARALDA,115,79
13,SANTANDER,245,220
14,SUCRE,55,46
15,TOLIMA,141,109
16,VALLE,225,209
17,VAUPÉS,0,1
18,VICHADA,2,0
19,ARAUCA,122,107
20,SAN ANDRÉS,2,9
21,ATLÁNTICO,172,129
22,SANTAFE DE BOGOTA D.C,1812,1756
23,BOLÍVAR,90,80
24,BOYACÁ,180,149
25,CALDAS,61,52
26,CAQUETÁ,27,16
27,CASANARE,151,145
28,CAUCA,66,79
29,CESAR,65,52
30,CHOCÓ,21,20
31,CÓRDOBA,30,19
32,HUILA,135,101
33,VICHADA,2,0
