,Unnamed: 0,Municipio,casosm,casosh,año
0,0,AMAZONAS,0,1,2016
1,1,ANTIOQUIA,127,107,2016
2,14,ARAUCA,2,4,2016
3,16,SAN ANDRÉS,3,2,2016
4,18,ATLÁNTICO,47,48,2016
5,23,SANTAFE DE BOGOTA D.C,166,161,2016
6,24,BOLÍVAR,20,23,2016
7,28,BOYACÁ,29,23,2016
8,37,CALDAS,11,13,2016
9,41,CAQUETÁ,5,3,2016
10,44,CASANARE,8,9,2016
11,46,CAUCA,22,20,2016
12,50,CESAR,7,10,2016
13,56,CHOCÓ,1,1,2016
14,58,CÓRDOBA,10,6,2016
15,63,CUNDINAMARCA,67,65,2016
16,84,GUAVIARE,1,1,2016
17,86,HUILA,32,25,2016
18,92,GUAJIRA,7,6,2016
19,96,MAGDALENA,14,23,2016
20,101,META,27,24,2016
21,105,NARIÑO,25,22,2016
22,109,NORTE DE SANTANDER,23,28,2016
23,113,PUTUMAYO,0,2,2016
24,115,QUINDÍO,12,10,2016
25,120,RISARALDA,14,20,2016
26,124,SANTANDER,49,49,2016
27,131,SUCRE,8,13,2016
28,134,TOLIMA,28,26,2016
29,137,VALLE,73,70,2016

