,Municipio,casosm,casosh
0,AMAZONAS,17,17
1,ANTIOQUIA,630,512
2,CUNDINAMARCA,450,361
3,GUAINÍA,3,0
4,GUAVIARE,11,12
5,GUAJIRA,41,44
6,MAGDALENA,93,67
7,META,270,211
8,META,270,211
9,NARIÑO,64,64
10,NORTE DE SANTANDER,125,111
11,PUTUMAYO,42,21
12,QUINDÍO,66,58
13,RISARALDA,115,79
14,RISARALDA,115,79
15,SANTANDER,245,220
16,SUCRE,55,46
17,TOLIMA,141,109
18,TOLIMA,141,109
19,VALLE,225,209
20,VAUPÉS,0,1
21,VICHADA,2,0
22,ARAUCA,122,107
23,SAN ANDRÉS,2,9
24,ATLÁNTICO,172,129
25,SANTAFE DE BOGOTA D.C,1812,1756
26,BOLÍVAR,90,80
27,BOYACÁ,180,149
28,CALDAS,61,52
29,CAQUETÁ,27,16
30,CASANARE,151,145
31,CAUCA,66,79
32,CESAR,65,52
33,CHOCÓ,21,20
34,CÓRDOBA,30,19
35,HUILA,26,29
