,Unnamed: 0,Municipio,casosm,casosh,año
0,0,AMAZONAS,37.0,18,2016
1,2,ANTIOQUIA,1269.0,665,2016
2,30,CAQUETÁ,45.0,15,2016
3,39,CASANARE,103.0,83,2016
5,59,CAUCA,204.0,110,2016
6,83,CESAR,141.0,84,2016
7,106,CESAR,141.0,84,2016
8,125,CHOCÓ,29.0,8,2016
9,137,CÓRDOBA,108.0,63,2016
10,164,CUNDINAMARCA,634.0,339,2016
11,306,GUAINÍA,4.0,3,2016
12,308,GUAVIARE,10.0,3,2016
13,311,HUILA,283.0,178,2016
15,336,GUAJIRA,80.0,40,2016
16,349,MAGDALENA,263.0,141,2016
17,374,META,266.0,184,2016
18,392,NARIÑO,205.0,122,2016
19,423,NORTE DE SANTANDER,355.0,205,2016
20,448,PUTUMAYO,40.0,17,2016
21,455,QUINDÍO,139.0,52,2016
23,473,RISARALDA,203.0,90,2016
24,490,ARAUCA,96.0,28,2016
25,498,SAN ANDRÉS,37.0,25,2016
26,508,RISARALDA,203.0,90,2016
27,517,SANTANDER,601.0,343,2016
28,598,SUCRE,150.0,68,2016
29,615,TOLIMA,302.0,165,2016
30,657,VALLE,662.0,379,2016
31,693,VAUPÉS,0.0,2,2016
32,695,VICHADA,2.0,0,2016
33,705,ATLÁNTICO,471.0,274,2016
34,724,SANTAFE DE BOGOTA D.C,2034.0,1089,2016
35,772,BOYACÁ,354.0,182,2016
36,836,CALDAS,156.0,59,2016
37,837,BOLÍVAR,257.0,164,2016
