,Municipio,casosm,casosh
0,AMAZONAS,35,14
1,ANTIOQUIA,1372,749
2,SUCRE,142,87
3,TOLIMA,414,191
4,VAUPÉS,0,1
5,GUAINÍA,5,4
6,GUAVIARE,2,0
7,HUILA,305,166
8,ARAUCA,89,48
9,SAN ANDRÉS,24,19
10,ATLÁNTICO,565,329
11,SANTAFE DE BOGOTA D.C,2078,1228
12,BOLÍVAR,323,144
13,BOYACÁ,331,221
14,CALDAS,115,50
15,CAQUETÁ,43,17
16,CASANARE,122,79
17,CAUCA,296,136
18,CESAR,149,93
19,CHOCÓ,16,9
20,CÓRDOBA,117,61
21,CUNDINAMARCA,656,400
22,GUAJIRA,85,47
23,MAGDALENA,245,131
24,META,273,144
25,NARIÑO,232,122
26,NORTE DE SANTANDER,312,161
27,PUTUMAYO,38,15
28,QUINDÍO,196,53
29,RISARALDA,180,76
30,SANTANDER,538,311
31,SUCRE,142,87
32,TOLIMA,414,191
33,VALLE,773,413
34,VAUPÉS,0,1
