,Unnamed: 0,Municipio,casosm,casosh,año
0,65,ARAUCA,455,97,2017
1,72,SAN ANDRÉS,136,22,2017
2,94,CESAR,960,108,2017
3,101,CHOCÓ,202,20,2017
4,128,CÓRDOBA,370,26,2017
5,149,CUNDINAMARCA,3315,534,2017
6,252,GUAINÍA,27,9,2017
7,254,GUAVIARE,38,5,2017
8,255,GUAVIARE,38,5,2017
9,258,HUILA,1310,229,2017
10,293,GUAJIRA,465,49,2017
11,307,MAGDALENA,1165,136,2017
12,346,META,1624,219,2017
13,355,ATLÁNTICO,2048,243,2017
14,378,SANTAFE DE BOGOTA D.C,10500,2083,2017
15,397,NARIÑO,1021,130,2017
16,432,NORTE DE SANTANDER,1174,137,2017
17,462,PUTUMAYO,232,39,2017
18,474,QUINDÍO,521,108,2017
19,509,RISARALDA,726,137,2017
20,524,SANTANDER,1948,361,2017
21,591,SUCRE,619,46,2017
22,613,TOLIMA,1200,178,2017
23,668,VALLE,3168,398,2017
24,709,VAUPÉS,1,0,2017
25,791,CALDAS,501,69,2017
26,830,CAQUETÁ,285,30,2017
27,845,CASANARE,842,207,2017
28,864,CAUCA,920,126,2017
29,865,ANTIOQUIA,4565,830,2017
30,866,BOLÍVAR,1328,68,2017
31,867,BOYACÁ,1498,237,2017
32,868,AMAZONAS,100,15,2017
