Municipio,Poblacion
ANTIOQUIA,6407102
ATLÁNTICO,2535517
SANTAFE DE BOGOTA D.C,7412566
BOLÍVAR,2070110
BOYACÁ,1217376
CALDAS,998255
CAQUETÁ,401849
CAUCA,1464488
CESAR,1200574
CÓRDOBA,1784783
CUNDINAMARCA,2919060
CHOCÓ,534826
HUILA,1100386
GUAJIRA,880560
MAGDALENA,1341746
META,1039722
NARIÑO,1630592
NORTE DE SANTANDER,1491689
QUINDÍO,539904
RISARALDA,943401
SANTANDER,2184837
SUCRE,904863
TOLIMA,1330187
VALLE,4475886
ARAUCA,262174
CASANARE,420504
PUTUMAYO,348182
SAN ANDRÉS,61280
AMAZONAS,76589
GUAINÍA,48114
GUAVIARE,82767
VAUPÉS,40797
VICHADA,107808
